video_id,predicted_caption,ground_truth_1,ground_truth_2
video7010,a woman is playing a video game,a clip showing a computer screen which contains instructions,a person explaining how to download song
video7011,a man is singing a song,a animation is shown to help learn colors,a commercial for paint
video7012,a man is talking about a famous player,a suit man is talking from a studio with fun,a man seated in a chair discusses mental health disorders
video7013,a man is talking about a car,a man is teaching,a man is teaching math by using a white board
video7014,a girl is singing a song,a girl and the judges talking on the the voice,a girl is talking to the judges on a game show
video7015,a man is talking about a subject in a room,a female is laughing while talking to a young male,a girl laughing at a guy
video7016,a man is singing a song,a girl and someone is putting an painted egg in to a water,a group of girls mixing paint
video7017,a man is describing how to use a <unk> grip on a racket,a gamer talks about his minecraft experience,a guy is showing off his minecraft game
video7018,a man is singing a song,a man dances in a room and flips through photos,a man is showing a picture
video7019,a man is talking to the camera,a man with suit sitting on the chair talking in front of the camera,a suit man is talking from a studio with fun
